"Firm","Address","Address : Street 1","Address : Street 2","Address : City","Address : State","Address : Zip","Address : Country","Address : Latitude","Address : Longitude","Website","AUSA Attorneys"
"Wentz Legal","930 Convention Tower 43 Court Street Buffalo, NY 14202","930 Convention Tower","43 Court Street","Buffalo","NY","14202","","42.8863","-78.87607","Wentzlegal.com","Crystal L.M. Wentz"
"Law Office of Kelley A. Way","150 N. Wiget Lane #210 Walnut Creek, CA 94598","150 N. Wiget Lane","#210","Walnut Creek","CA","94598","","37.92629","-122.02377","www.KaWayLaw.com","Kelley A. Way"
"Christian Legal Aid on the District of Columbia","P.O. Box 70555 Washington, DC 20024","P.O. Box 70555","","Washington","DC","20024","","38.87847","-77.01756","www.ChristianLegalAid-DC.org","Sheily Virella"
"Morefield, Speicher & Bachman (MSB Law KC)","11814 West 135th St. Overland Park, KS 66221","11814 West 135th St.","","Overland Park","KS","66221","","38.88428","-94.72263","www.MSBLAWKC.com","Andrew L. Speicher"
"Mission First Legal Aid","275 Roseneath Ave. Jackson, MS 39203","275 Roseneath Ave.","","Jackson","MS","39203","","32.30811","-90.2077","MissionFirst.org","Seth Shannon"
"Support Worldwide, a 501(c)(3) Nonprofit Organization","5550 Glades Road Suite 500 #1026 Boca Raton, FL 33431","5550 Glades Road","Suite 500 #1026","Boca Raton","FL","33431","","26.3674","-80.12987","mysupportworldwide.org","Genesis Quintana"
"Draper & Wagner, PC","150 Kimel Park Drive Suite 300 Winston-Salem, NC 27103","150 Kimel Park Drive","Suite 300","Winston-Salem","NC","27103","","36.05904","-80.29939","www.lexpacis.com","Adam Carroll Draper"
"Telios Law PLLC","19925 Monument Hill Road Monument, CO 80132","19925 Monument Hill Road","","Monument","CO","80132","","39.12106","-104.86385","TeliosLaw.com","Bharath Reddy Konda"
"Simms Showers LLP","305 Harrison Street, S.E. Third Floor Leesburg, VA 20175","305 Harrison Street, S.E.","Third Floor","Leesburg","VA","20175","","39.11155","-77.56332","www.simmsshowerslaw.com","Justin R. Coleman"
"Prison Fellowship","44180 Riverside Parkway Lansdowne, VA 20176","44180 Riverside Parkway","","Lansdowne","VA","20176","","39.07304","-77.47185","prisonfellowship.org","Rev. Andrew Brashier"
"Dhillon Law Group","Dhillon Law Group 177 Post St, STE 700 San Francisco, CA 94108-4725","Dhillon Law Group","177 Post St, STE 700","San Francisco","CA","94108-4725","","37.78862","-122.40477","","Harmeet Dhillon
Mark Philip Meuser"
"Litigator Law LLC","216 Florio Ct Las Vegas, NV 89138","216 Florio Ct","","Las Vegas","NV","89138","","36.17796","-115.35202","litigatorlaw.com","Alan LeFebvre"
