"Case Name","Description","Attorney / Staff Member","Status / Next Steps","Document Type","Deadline","Documents","Lead Plaintiff Counsel?","Status","Tier","Last Updated"
"4S Technologies, LLC v. U.S. CIS, 1:19-00555 (U.S.D.C. D.D.C.)","Judicial Review of Agency Actions<br /><br />*Related case ITServe Alliance, Inc. v. USCIS, 1:18-02350","","3/10/2020 ORDER remanding the visa applications to the agency for reconsideration in no more than 60 days. This case is closed. See Order for details. Signed by Judge Rosemary M. Collyer on 3/10/2020. (DAS)<br />*See current Briefing Schedule in ITServe Alliance, Inc. v. USCIS for status updates<br /><br />Complaint filed 2/28/19","","","","No","Prospective","2","04/20/2020 1:35pm"
"Abdi v. Duke, 17-00721 (U.S.D.C. W.D.NY)","Financial availability of bond hearings","","Parties filed letter informing Ct of 3/19 S.Ct decision in Nielsen v. Preap on 3/21/19; Oral Argument on Mtn to Enforce Prelim Injunc and Class Rptg Order held 6/10/19; Pltf filed Response to Oral Argument 6/14/19; Awaiting Ct decision","","","","No","Prospective","2","10/29/2019 2:25pm"
"Abdulla v. Attorney General United States, 20-1492 (U.S.), 0:19-ag-01167 (3rd Cir.)","Yemeni man wants deportation order overturned based on alleged U.S. citizenshp. Abdulla’s legal claim for derivative U.S. citizenship under 8 U.S.C. § 1252(b)(5). See<br />Espichan v. Att’y Gen., 945 F.3d 794, 796 (3d Cir. 2019). We also have jurisdiction to review Abdulla’s legal claim that the immigration court lacked jurisdiction to conduct the removal proceedings because of the NTA’s failure to state the date and time of his initial hearing. See Nkomo v. Att’y Gen., 930 F.3d 129, 132 (3d Cir. 2019) (exercising<br />jurisdiction over identical claim). Finally, we have jurisdiction to review “colorable” due process claims. Calderon-Rosas v. Att’y Gen., 957 F.3d 378, 384 (3d Cir. 2020) (quoting Pareja v. Att’y Gen., F.3d 180, 186 (3d Cir. 2010)).","Matt Crapo","11/19/21 Vacated J and remanded to 3rd Cir.; <br />3rd Cir. 5/17/22 ORDER (Clerk) The parties are hereby directed to submit supplemental briefing w/in 30 days; ","3rd Cir. 5/17/22 ORDER (Clerk) The parties are hereby directed to submit supplemental briefing w/in 30 days; ","06/17/2022","","No","Active","","06/07/2022 3:26pm"
"Abriq v. Hall, 18-6124 (6th Cir.) / 3:17-cv-00690 (M.D. Tenn.)","A foreign national brought this civil rights action against the Metropolitan Government of Nashville and Davidson County, acting by and through and the Davidson County Sheriff’s Office and Sheriff Daron Hall to challenge his detention as unlawful.","CJH; MSV","Filed amicus curiae brief filed in district court Jun. 30, 2017; Ct denied mtn to dismiss; amicus curiae brief filed on SJ Aug. 15, 2018; ct ruled in defendant’s favor and dismissed case; appeal filed; amicus curiae brief due Feb. 26, 2019.  CASE DISMISSED per FRAP 42(b) Agreed by Parties<br /><br />*IRLI closed file as of 1/18/19","","","","No","Archive","",""
"Abriq v. Nashville, 3:17-cv-00690 (M.D. Tenn.)","A foreign national brought this civil rights action against the Metropolitan Government of Nashville and Davidson County, acting by and through and the Davidson County Sheriff’s Office and Sheriff Daron Hall to challenge his detention as unlawful.","EAH; CJH","Filed amicus curiae brief filed in district court Jun. 30, 2017; Ct denied mtn to dismiss; amicus curiae brief filed on SJ Aug. 15, 2018; ct ruled in defendant’s favor and dismissed case; appeal filed; amicus curiae brief due Feb. 26, 2019.  CASE DISMISSED per FRAP 42(b) Agreed by Parties<br /><br />*IRLI closed file as of 1/18/19","","","","No","Archive","",""
"Addo v. Barr, 0:18-agpet-09560 (10th Cir.)","10th Circ. Says Feds Denied Ghanian Asylum Without Proof","","10/19/2018 Appeal filed; 12/14/20 Judgment w/Opinion, Granted and Remanded; Case terminated; Might be appealed; ","","","","No","Archive","","06/17/2021 10:22am"
"Agusto Niz-Chavez v. Matthew Whitaker, 19-863 (U.S.), 0:18-ag-04264 (6th cir.)","Notice : The U.S. Supreme Court agreed to consider whether a deportation notice that contains missing information can be fixed with a follow-up notice.<br />UPDATE: U.S. Sup. Ct ruling 4/29/21: In a 6-3 decision by Gorsuch, joined by Thomas, Breyer, Sotomayor, Kagan, and Barrett, the Court held that a notice to appear issued to non-resident aliens to inform them of a removal action terminates an alien’s continuous presence in the country only if the notice is one document that contains all statutorily required information; the notice may not be broken up into multiple documents sent over a period of time. Nonpermanent resident aliens who have been subject to removal from the country may be eligible for discretionary relief if they can show ten years of continuous residence in the country. The “stop-time rule” of the Illegal Immigration Reform and Immigrant Responsibility Act, however, provides that the alien’s period of continuous residence terminates when the alien receives “a notice” to appear for removal proceedings. Here, Niz-Chavez received two documents over two months that, together, included all the information statutorily required to be present in the notice. He argued, therefore, that his period of continuous residence did not end because he did not receive “a” notice, but two. The government countered that notice was completed upon receipt of the second document. The Court sided with Niz-Chavez holding that the indefinite article “a” “suggests Congress used ‘notice’ in its countable sense.”<br />","CHH, Gina D'Andrea","12/28/18 complaint filed; Pet. appealed 6th Circ. ruling to U.S.; 6/8/20 U.S. accepted Pets. Writ of Cert; 10/26/20 Applicant Reply; <br /><br />7/13/20 Motion for Ext. Time; 8/6/20 Pet. Brief, 8/13/20 Amicus briefs: National Immigrant Justice Center & Thirty-Three Former Immigration Judges and Members of the Board of Immigration Appeals; 10/2/20 IRLI amicus; 10/26/20 Reply; 11/9/20 Argued for Pet.; 4/29/21 U.S. ruled Deportation Notices must contain all information in one document - DC Bar analysis: The US Supreme Court in a 6-3 decision has held that the government must issue a single notice to inform an immigrant of the date and time of a deportation hearing. Ruling in favor of Agusto Niz-Chavez, a Guatemalan national, the majority said a rule requiring 10 years of continuous residency to seek deportation relief is not triggered when the government issues an incomplete notice followed by a document specifying a hearing's date and time.<br /><br />10/2/20 IRLI amicus at SCOTUS 19-863<br />","Amicus due  ","10/02/2020","","No","Archive","","04/29/2021 3:13pm"
"Ahmed, et al. v. CoreCivic, Inc., 18-15081 (11th Cir.) / Barrientos, et al. v. Corecivic, Inc., 18-00070 (M.D.GA)","Violation of 18 U.S.C. § 1589 - Detainees not being paid proper wages for work - the question presented on appeal is whether the statute applies to work performed by immigration detainees in lawful custody of the U.S. gov't while participating in its federally mandated Work Program","","2/28/2020 Opinion issued by court as to Appellant CoreCivic Inc. Decision: Affirmed. Opinion type: Published.<br />DistCt Order denying Def's MTD, certifying issue for interlocutory appeal, and staying proceedings in this Ct pending resolution of any application for interlocutory appeal 8/2/18; Def appealed to 11th Cir. 12/12/18; Appellant's Brief filed 3/25/19; Appellee's Brief filed 5/1/19; Appellant's Reply Brief filed 6/5/19; Oral Argument set for 1/27/20<br /><br />3/14, 4/16, 7/9/19 - provided to Chris for consideration","","","","No","Prospective","2","08/18/2020 1:52pm"
"Ahn v. The Geo Group, 1:22-at-000315, (E.D. Cal.) ","Family sues GEO Group over dad's suicide while in custody. Dad orig from Korea and suffered from mental issues, was put in solitary confinement.<br /><br />Ahn estate is represented by Lisa Knox of California Collaborative for Immigrant Justice, Oren Nissim Nimni, Amaris Montes and Sophie Angelis of Rights Behind Bars and Trevor Kosmo and Priya Arvind Patel of Centro Legal De La Raza. Also filed separate complaint: 1:22-cv-00586<br /><br /> ","","1/17/22 Complaint; ","","","","No","Prospective","","05/19/2022 10:24am"
"A.I.I.L. et al v. Sessions, 4:19-cv-00481 (D. Ariz.) ","Lawsuit over family separations. Fed. Officials Say Family Separation Suit Seeks Undue Relief. Families could pursue relief under the Administrative Procedure Act or the Immigration and Nationality Act. Officials targeted for their alleged involvement in the family separations under Bivens  ""line-level"" officers over one man's warrantless arrest, whereas the migrant families' suit was lobbed against the country's highest officials over immigration enforcement policy. If the court would order Bivens damages here, it would be doing so within a new context, according to the officials.<br /><br />","Gina D'Andrea","10/3/2019 Complaint; 2/14/20 MOTION to Dismiss for Lack of Jurisdiction; 4/22/20 RESPONSE in Opposition; 6/2/20 REPLY; 7/8/20 Response; 8/6/20 Reply; 9/3/20 Amended Complaint; 11/13/20 Motion to Dismiss for lack of jurisdiction; 11/23/20 D's Motion to Dismiss (lack of Juris, improper venue); 1/21/21 Consent Motion for ext. time to file Response/Reply; 2/5/21 Reply to response motion to dismiss for lack of jurisdiction; 5/20/21 Motion to hold in abeyance; 5/21/21 Response in Opp.; 5/28/21 Reply to Response Motion; 8/2/21 2nd Motion to hold in abeyance; 8/10/21 Response; 8/13/21 ORDER granting Ps' Second Motion to Hold Action in Abeyance STAYING this matter for 60 days; 10/13/21 3rd Motion to Hold in Abeyance; 10/15/21 Response in Opp; 11/19/21 ORDERED GRANTING Ps' Motion to Hold Action in Abeyance, all remaining deadlines and hearings, for a period of SIXTY (60) DAYS, Status Conf. 1/11/2022; 12/16/21 Motion to life abeyance; 1/7/21 Granted lift abeyance; 3/31/22 Order Grant US motion to dismiss Ps challenge to venue; 4/1/22 Migrant families separated under ex-President Donald Trump can't sue officials from the former administration for damages, but they can pursue their claims against the federal government; 4/8/22 P's BRIEF re: Order on Motion to Dismiss/Lack of Jurisdiction,,, (Ps' Supp. Brief on Tfr of Venue for Ps; 4/13/22 Consent MOTION for USA's Ext. of Time to File Response to Brief and Answer 4/22; 4/14/22 ORDER Grant D's ext. time re P's supp brief re venue due 4/22, D's Answer to Ps' 1st amend complaint due 4/28; 4/22/22 USA response brief; 4/28/22 Answer; 6/2/22 Joint Motion for protective order; 6/14/22 USA motion to consol. cases: 19-00481, 19-05217, 20-00065; 6/28/22 Response to motion; 7/5/22 USA grant ext time Reply 7/12; 7/7/22 RESPONSE to Motion re: (242 in 2:19-cv-05217-SRB, 242 in 2:19-cv-05217-SRB) MOTION to Transfer Related Case Ps' Motion to Transfer to Judge Susan R. Bolton , (15 in 2:22-cv-00683-MTL) MOTION to Dismiss for Lack of Jurisdiction, MOTION to Dismiss for Failure to State a Claim filed by USA, USA reply in support by 7/12 to consol. cases; 7/11/22 Reply to Response Motion; 7/12/22 Reply to Response Motion; 7/15/22 D's entry of Motion for J, ORDER granting91 parties' Joint Motion for Order Entering Clawback Agreement and Order; 7/29/22 Response in Opp. to Entry of J motion; 8/5/22 Reply to Response motion for entry of J;<br /><br />","USA ext time to file reply in support of their motion ","07/12/2022","","No","Active","","08/05/2022 1:54pm"
